year,state,p_poor_mental,gun_suicides,population,fem_fs_s,male_fs_s,mean_fs_s
1993,Alabama,0.05297098111469369,429,4193448,0.71559633,0.794117647,0.7548569885
1993,Alaska,0.06724367509986684,60,597143,0.695652174,0.702702703,0.6991774385
1993,Arizona,0.07160342717258263,504,3994375,0.534351145,0.739932886,0.6371420155
1993,Arkansas,0.07781649245063879,234,2424554,0.586206897,0.799227799,0.692717348
1993,California,0.09734273318872018,2075,31140192,0.332125604,0.590744995,0.4614352995
1993,Colorado,0.08922558922558922,383,3562962,0.503703704,0.667372881,0.5855382925
1993,Connecticut,0.05668934240362812,146,3271053,0.393939394,0.521186441,0.4575629175
1993,Delaware,0.09923298178331735,38,700409,0.1,0.5,0.3
1993,District of Columbia,0.030612244897959183,13,579699,NA,NA,NA
1993,Florida,0.09487852921864741,1265,13715387,0.432595573,0.647887324,0.5402414485
1993,Georgia,0.07808219178082192,658,6897201,0.696296296,0.782246879,0.7392715875
1993,Hawaii,0.05835294117647059,23,1164288,0.055555556,0.294117647,0.1748366015
1993,Idaho,0.0826353992183138,132,1100431,0.703703704,0.740740741,0.7222222225
1993,Illinois,0.05898491083676269,575,11723670,0.309322034,0.543290043,0.4263060385
1993,Indiana,0.09028459273797841,468,5703165,0.360655738,0.696223317,0.5284395275
1993,Iowa,0.06368715083798883,161,2821392,0.316666667,0.569767442,0.4432170545
1993,Kansas,0.06201550387596899,220,2539024,0.322580645,0.729927007,0.526253826
1993,Kentucky,0.08865546218487395,399,3794822,0.629213483,0.790322581,0.7097680319999999
1993,Louisiana,0.07075173720783323,402,4288017,0.68,0.786046512,0.7330232560000001
1993,Maine,0.0642570281124498,100,1236399,0.454545455,0.574324324,0.5144348894999999
1993,Maryland,0.07251107484262066,265,4944774,0.283185841,0.576923077,0.430054459
1993,Massachusetts,0.08823529411764706,135,6009525,0.094827586,0.37037037,0.232598978
1993,Michigan,0.08919597989949749,639,9526354,0.368715084,0.633149171,0.5009321275
1993,Minnesota,0.08228980322003578,237,4524584,0.230769231,0.540609137,0.385689184
1993,Mississippi,0.08547008547008547,265,2636694,0.781818182,0.816176471,0.7989973265
1993,Missouri,0.08954203691045796,437,5239615,0.377192982,0.70609319,0.541643086
1993,Montana,0.08312128922815945,102,840264,0.433333333,0.752,0.5926666665
1993,Nebraska,0.0686164229471316,96,1612979,0.346153846,0.662068966,0.504111406
1993,Nevada,0.1052335396736072,220,1382357,0.516666667,0.72243346,0.6195500635
1993,New Hampshire,0.08458390177353342,68,1122389,0.432432432,0.61682243,0.524627431
